fold,model,feature_set,train_rows,validation_rows,accuracy,f1_score,roc_auc,pr_auc,balanced_accuracy,mcc,sensitivity,specificity,tn,fp,fn,tp
1,DummyClassifier,입력을 무시함,1257,315,0.761905,0.864865,0.500000,0.761905,0.500000,0.000000,1.000000,0.000000,0,75,0,240
2,DummyClassifier,입력을 무시함,1257,315,0.761905,0.864865,0.500000,0.761905,0.500000,0.000000,1.000000,0.000000,0,75,0,240
3,DummyClassifier,입력을 무시함,1258,314,0.764331,0.866426,0.500000,0.764331,0.500000,0.000000,1.000000,0.000000,0,74,0,240
4,DummyClassifier,입력을 무시함,1258,314,0.764331,0.866426,0.500000,0.764331,0.500000,0.000000,1.000000,0.000000,0,74,0,240
5,DummyClassifier,입력을 무시함,1258,314,0.764331,0.866426,0.500000,0.764331,0.500000,0.000000,1.000000,0.000000,0,74,0,240
1,Logistic Regression,8 RDKit descriptors,1257,315,0.815873,0.887597,0.819278,0.912120,0.663750,0.423507,0.954167,0.373333,28,47,11,229
2,Logistic Regression,8 RDKit descriptors,1257,315,0.847619,0.906615,0.865444,0.940594,0.712083,0.536915,0.970833,0.453333,34,41,7,233
3,Logistic Regression,8 RDKit descriptors,1258,314,0.834395,0.898438,0.837894,0.933124,0.695383,0.487224,0.958333,0.432432,32,42,10,230
4,Logistic Regression,8 RDKit descriptors,1258,314,0.847134,0.905138,0.859403,0.942214,0.727083,0.535643,0.954167,0.500000,37,37,11,229
5,Logistic Regression,8 RDKit descriptors,1258,314,0.856688,0.911243,0.858474,0.934642,0.738007,0.566286,0.962500,0.513514,38,36,9,231
1,Random Forest,"Morgan radius=2, 2048 bits",1257,315,0.866667,0.916996,0.909611,0.965582,0.756667,0.603249,0.966667,0.546667,41,34,8,232
2,Random Forest,"Morgan radius=2, 2048 bits",1257,315,0.901587,0.938856,0.963806,0.987591,0.802500,0.716994,0.991667,0.613333,46,29,2,238
3,Random Forest,"Morgan radius=2, 2048 bits",1258,314,0.878981,0.924303,0.902843,0.961646,0.780631,0.640817,0.966667,0.594595,44,30,8,232
4,Random Forest,"Morgan radius=2, 2048 bits",1258,314,0.920382,0.949084,0.952618,0.983059,0.863795,0.771083,0.970833,0.756757,56,18,7,233
5,Random Forest,"Morgan radius=2, 2048 bits",1258,314,0.878981,0.924901,0.889499,0.950413,0.771284,0.639903,0.975000,0.567568,42,32,6,234
