outcome,descriptor,count,mean,median
TN,MolWt,53,529.595962,477.603000
TN,MolLogP,53,0.793824,0.633200
TN,TPSA,53,165.238113,181.620000
TN,NumHDonors,53,4.075472,4.000000
TN,NumHAcceptors,53,9.471698,10.000000
TN,NumRotatableBonds,53,6.018868,6.000000
TN,RingCount,53,3.867925,4.000000
TN,FractionCSP3,53,0.494263,0.437500
FP,MolWt,40,312.763050,270.800000
FP,MolLogP,40,1.450466,1.602650
FP,TPSA,40,84.762000,77.790000
FP,NumHDonors,40,2.300000,2.000000
FP,NumHAcceptors,40,4.600000,4.000000
FP,NumRotatableBonds,40,4.275000,3.500000
FP,RingCount,40,2.575000,2.000000
FP,FractionCSP3,40,0.507285,0.473193
FN,MolWt,6,312.771667,276.515500
FN,MolLogP,6,2.214833,2.012300
FN,TPSA,6,92.981667,85.585000
FN,NumHDonors,6,2.666667,2.000000
FN,NumHAcceptors,6,4.833333,4.000000
FN,NumRotatableBonds,6,4.500000,3.000000
FN,RingCount,6,2.500000,2.000000
FN,FractionCSP3,6,0.190519,0.166667
TP,MolWt,294,322.743272,311.943000
TP,MolLogP,294,2.750238,2.863900
TP,TPSA,294,53.240612,49.250000
TP,NumHDonors,294,0.993197,1.000000
TP,NumHAcceptors,294,3.642857,3.000000
TP,NumRotatableBonds,294,3.863946,3.000000
TP,RingCount,294,2.972789,3.000000
TP,FractionCSP3,294,0.453314,0.428571
