candidate,fold,tn,fp,fn,tp
A: Existing RF,1,41,34,8,232
A: Existing RF,2,46,29,2,238
A: Existing RF,3,44,30,8,232
A: Existing RF,4,56,18,7,233
A: Existing RF,5,42,32,6,234
B: Balanced RF,1,49,26,12,228
B: Balanced RF,2,61,14,7,233
B: Balanced RF,3,50,24,16,224
B: Balanced RF,4,62,12,12,228
B: Balanced RF,5,47,27,10,230
C: Morgan + descriptors RF,1,43,32,8,232
C: Morgan + descriptors RF,2,45,30,1,239
C: Morgan + descriptors RF,3,47,27,9,231
C: Morgan + descriptors RF,4,58,16,6,234
C: Morgan + descriptors RF,5,45,29,6,234
