candidate,feature_set,fold,train_rows,validation_rows,threshold,accuracy,f1_score,roc_auc,pr_auc,balanced_accuracy,mcc,sensitivity,specificity
A: Existing RF,Morgan 2048 bits,1,1257,315,0.500000,0.866667,0.916996,0.909611,0.965582,0.756667,0.603249,0.966667,0.546667
A: Existing RF,Morgan 2048 bits,2,1257,315,0.500000,0.901587,0.938856,0.963806,0.987591,0.802500,0.716994,0.991667,0.613333
A: Existing RF,Morgan 2048 bits,3,1258,314,0.500000,0.878981,0.924303,0.902843,0.961646,0.780631,0.640817,0.966667,0.594595
A: Existing RF,Morgan 2048 bits,4,1258,314,0.500000,0.920382,0.949084,0.952618,0.983059,0.863795,0.771083,0.970833,0.756757
A: Existing RF,Morgan 2048 bits,5,1258,314,0.500000,0.878981,0.924901,0.889499,0.950413,0.771284,0.639903,0.975000,0.567568
B: Balanced RF,Morgan 2048 bits,1,1257,315,0.500000,0.879365,0.923077,0.911750,0.968635,0.801667,0.650297,0.950000,0.653333
B: Balanced RF,Morgan 2048 bits,2,1257,315,0.500000,0.933333,0.956879,0.966194,0.988283,0.892083,0.811786,0.970833,0.813333
B: Balanced RF,Morgan 2048 bits,3,1258,314,0.500000,0.872611,0.918033,0.915287,0.969642,0.804505,0.634377,0.933333,0.675676
B: Balanced RF,Morgan 2048 bits,4,1258,314,0.500000,0.923567,0.950000,0.955434,0.983773,0.893919,0.787838,0.950000,0.837838
B: Balanced RF,Morgan 2048 bits,5,1258,314,0.500000,0.882166,0.925553,0.894369,0.956642,0.796734,0.653454,0.958333,0.635135
C: Morgan + descriptors RF,Morgan 2048 bits + 8 descriptors,1,1257,315,0.500000,0.873016,0.920635,0.910028,0.965826,0.770000,0.624371,0.966667,0.573333
C: Morgan + descriptors RF,Morgan 2048 bits + 8 descriptors,2,1257,315,0.500000,0.901587,0.939096,0.963778,0.987536,0.797917,0.718631,0.995833,0.600000
C: Morgan + descriptors RF,Morgan 2048 bits + 8 descriptors,3,1258,314,0.500000,0.885350,0.927711,0.906785,0.964307,0.798818,0.662604,0.962500,0.635135
C: Morgan + descriptors RF,Morgan 2048 bits + 8 descriptors,4,1258,314,0.500000,0.929936,0.955102,0.950028,0.979449,0.879392,0.799428,0.975000,0.783784
C: Morgan + descriptors RF,Morgan 2048 bits + 8 descriptors,5,1258,314,0.500000,0.888535,0.930417,0.920636,0.970193,0.791554,0.670977,0.975000,0.608108
